main_speaker,title,speaker_occupation,duration,languages,views,comments
Jonas Gahr St’Ùre,In defense of dialogue,Foreign Minister of Norway,898,28,338346,57
Drew Berry,Animations of unseeable biology,Biomedical animator,548,37,1443353,161
Morley,"""Women of Hope""",Singer-songwriter,330,36,310126,45
Kirk Sorensen,"Thorium, an alternative nuclear fuel","Engineer, nuclear technologist",599,0,390395,325
Charles Hazlewood + British Paraorchestra,The debut of the British Paraorchestra,Contemporary music ensemble,816,0,66668,43
Sonaar Luthra,Meet the Water Canary,,217,38,353749,145
Alain de Botton,Atheism 2.0,Philosopher,1160,42,2203020,1328
Mikko Hypponen,Three types of online attack,Cybersecurity expert,563,36,957219,110
Clay Shirky,Why SOPA is a bad idea,Social Media Theorist,839,41,1275141,689
Sheena Iyengar,How to make choosing easier,Psycho-economist,965,35,2314111,110
Scott Rickard,The beautiful math behind the world's ugliest music,Mathematician,583,0,348992,195
Bilal Bomani,Plant fuels that could power a jet,NASA scientist,869,20,155895,76
Julian Baggini,Is there a real you?,Philosopher,719,29,1005287,375
Lisa Harouni,A primer on 3D printing,3D printing entrepreneur,889,20,1595655,230
Diana Nyad,Extreme swimming with the world's most dangerous jellyfish,"Journalist, swimmer",1017,26,611461,100
Brian Goldman,Doctors make mistakes. Can we talk about that?,"Physician, broadcaster",1168,31,1324838,507
Gayle Tzemach Lemmon,"Women entrepreneurs, example not exception",Reporter,796,32,548121,65
Bjarke Ingels,Hedonistic sustainability,Architect,1335,0,422460,104
Mick Mountz,What happens inside those massive warehouses?,"CEO, Kiva Systems",726,22,276779,113
Peter van Uhm,Why I chose a gun,General,1030,28,1818344,626
Bill Doyle,Treating cancer with electric fields,Engineer,935,28,550715,187
Shawn Achor,The happy secret to better work,Psychologist,740,46,16209727,754
Erica Frenkel,The universal anesthesia machine,Medical technologist,683,27,318110,63
Danny Hillis,Back to the future (of 1994),Computer theorist,1150,22,581419,71
Mike deGruy,Hooked by an octopus,Filmmaker,1092,26,940841,136
Aleph Molinari,Let's bridge the digital divide!,"Economist, techno-activist",594,0,115346,80
Nancy Duarte,The secret structure of great talks,"CEO, presentation designer",1090,0,1152886,245
Neil Burgess,How your brain tells you where you are,Neuroscientist,543,34,1196436,86
Stephen Coleman,"Non-lethal weapons, a moral hazard?",Ethicist,1052,23,485769,180
Sheikha Al Mayassa,"Globalizing the local, localizing the global","Founder, Doha Film Institute",653,28,642142,94
Jack Horner,Where are the baby dinosaurs?,Dinosaur digger,1103,28,1063288,78
Erik Johansson,Impossible photography,Photographer and retoucher,381,44,3680820,111
Drew Dudley,Everyday leadership,Leadership educator,374,38,3119947,267
Keith Nolan,Deaf in the military,Teacher,1118,0,120274,70
Tyrone Hayes + Penelope Jagessar Chaffer,The toxic baby,Biologist,1068,23,450706,101
Jenna McCarthy,What you don't know about marriage,Writer,677,38,4384497,353
Inara George,"""Family Tree""",Singer and songwriter,199,0,217851,15
Lucien Engelen,Crowdsource your health,Healthcare innovator,372,31,288585,42
Simon Berrow,How do you save a shark you know nothing about?,Marine biologist,1006,25,478456,44
Paul Conneally,How mobile phones power disaster relief,Aid worker,657,30,347644,36
Garth Lenz,The true cost of oil,Photographer,1060,23,792779,775
Lucianne Walkowicz,Look up for a change,Stellar astronomer,669,0,175395,80
Neil MacGregor,2600 years of history in one object,Director of The British Museum,1177,35,983994,305
Chris Bliss,Comedy is translation,Writer,960,30,713999,96
Shilo Shiv Suleman,Using tech to enable dreaming,Artist,456,35,576918,181
Shlomo Benartzi,"Saving for tomorrow, tomorrow",Economist,1065,30,1332298,110
Tan Le,My immigration story,Entrepreneur,736,36,1072306,151
Avi Rubin,All your devices can be hacked,Computer security expert,1016,24,1104692,100
Jeffrey Kluger,The sibling bond,"Senior Editor, TIME Magazine",1254,0,418651,90
Kevin Allocca,Why videos go viral,YouTube trends manager,440,38,2145157,212
Paul Snelgrove,A census of the ocean,Marine biologist,1007,20,293342,24
Daniel Pauly,The ocean's shifting baseline,Fisheries biologist,542,26,224768,27
Peter Diamandis,Abundance is our future,Space activist,974,30,1363726,445
Paul Gilding,The Earth is full,Writer,1006,30,1174189,786
Vijay Kumar,Robots that fly ... and cooperate,Roboticist,1006,34,4234334,376
Susan Cain,The power of introverts,Quiet revolutionary,1144,44,17629275,1155
Bryan Stevenson,We need to talk about an injustice,Public-interest lawyer,1421,32,3791888,717
Andrew Stanton,The clues to a great story,Filmmaker,1156,31,2702500,247
James Hansen,Why I must speak out about climate change,Climatologist,1071,30,1243930,844
Jennifer Pahlka,Coding a better government,Code activist,731,35,827607,216
Improv Everywhere,A TED speaker's worst nightmare,Social energy entrepreneur,229,51,2950307,324
Kelli Anderson,Design to challenge reality,"Artist, designer",953,0,306296,123
Larry Smith,Why you will fail to have a great career,"Professor of Economics, University of Waterloo",915,38,5917201,939
Greg Gage,The cockroach beatbox,Neuroscientist,376,0,303986,152
Chris Anderson (TED),Questions no one knows the answers to,TED Curator,728,0,659450,428
David Gallo,Deep ocean mysteries and wonders,Oceanographer,508,0,277544,62
Adam Savage,How simple ideas lead to scientific discoveries,"Maker, critical thinker",452,0,877096,145
Jonathan Haidt,"Religion, evolution, and the ecstasy of self-transcendence",Social psychologist,1096,31,1129577,497
